city,labour_force_participation_2021
Toronto,65.2
Montreal,64.0
Vancouver,67.0
Calgary,69.5
Edmonton,68.1
Winnipeg,65.0
Ottawa,70.3
Quebec City,63.5
Halifax,68.9
Moncton,61.2
